Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Createur_de_la_donnee,Date_de_mise_a_jour,Contacts_du_POI,Classements_du_POI,Description,CP,Ville,nom_departement,nom_region,nom_membre,raison_sociale
Hôtel Best Western La Mare O Poissons,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hôtel', 'Hôtellerie']",49.2708793,-0.2569729,68 rue Emile Herbline,OT Caen la Mer,2026-05-06, https://www.lamareopoissons.fr/ https://www.lamareopoissons.fr/<> https://www.facebook.com/profile.php?id=61550118096755<> https://www.instagram.com/hotellamareopoissons/,3 étoiles#Classement officiel des hébergements touristiques,"Situé à Ouistreham, à proximité de Caen et des plages du Débarquement, l'hôtel Best Western La Mare O Poissons propose 30 chambres confortables et accueillantes équipées de la climatisation, d'un accès internet gratuit et d'un plateau de courtoisie....",14150,Ouistreham,Calvados,Normandie,Ouistreham,CU Caen la Mer
Padam Padam,"['Restauration', 'Lieu', ""Point d'intérêt"", 'Restaurant']",49.2708852,-0.2569752,68 rue Emile Herbline,OT Caen la Mer,2026-05-05, https://www.padampadam-ouistreham.fr/<> https://www.facebook.com/people/PADAM-PADAM/61556268489001/<> https://www.instagram.com/padampadam.ouistreham/,,"Cuisine du terroir, familiale et traditionnelle. 
Un cadre original grâce à une déco vintage des années 1950 à 1970, chinée dans les brocantes.",14150,Ouistreham,Calvados,Normandie,Ouistreham,CU Caen la Mer
Les Manoirs des Portes de Deauville,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hôtel', 'Hôtellerie']",49.3178786,0.1340159,30 Route de Pont-l'Evêque,OT Terre d'Auge Tourisme,2026-04-23, https://www.portesdedeauville.com/ https://www.portesdedeauville.com/<> https://www.facebook.com/manoirsportesdeauville<> https://www.instagram.com/manoirsportesdeauville/,4 étoiles#Classement officiel des hébergements touristiques,"Authentique Manoir normand des XVIe et XVIIe siècle, situé à Canapville, dans le département du Calvados en région Normandie et à 7 kilomètres seulement de Deauville-Trouville, l'hôtel Les Manoirs des Portes de Deauville est un boutique hôtel de...",14800,Canapville,Calvados,Normandie,Canapville,CC Terre d'Auge
La Laiterie,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",49.20316,-0.844367,Vaubadon 23 Route de Saint Lo,OT Isigny-Omaha,2026-02-17, https://www.maison-moomoons.com/<> https://www.facebook.com/profile.php?id=100076341223604,1 étoile#Classement officiel des hébergements touristiques,Maison MooMoon’s  vous offrira confort et sérénité pour vos séjours au milieu d’un domaine de près de 1 hectare (avec animaux divers de la ferme) et possibilité de service petits déjeuners. Les choix de visites en Normandie sont très vastes : vous...,14490,Balleroy-sur-Drôme,Calvados,Normandie,Balleroy-sur-Drôme,CC Isigny-Omaha Intercom
La Bergerie,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",49.20316,-0.844367,Vaubadon 23 Route de Saint Lo,OT Isigny-Omaha,2026-02-06, https://www.maison-moomoons.com/,1 étoile#Classement officiel des hébergements touristiques,Maison MooMoon’s a ouvert ses portes le 15 juillet 2019 avec ses 3 gîtes. Maison MooMoon’s  vous offrira confort et sérénité pour vos séjours au milieu d’un domaine de près de 1 hectare et avec une petite restauration. Les choix de visites en...,14490,Balleroy-sur-Drôme,Calvados,Normandie,Balleroy-sur-Drôme,CC Isigny-Omaha Intercom
Gîte de L'Ecurie,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",49.20316,-0.844367,Vaubadon 23 Route de Saint Lo,OT Isigny-Omaha,2026-02-16, https://www.maison-moomoons.com/<> https://www.facebook.com/profile.php?id=100076341223604,1 étoile#Classement officiel des hébergements touristiques,"Maison MooMoon’s  vous offrira confort et sérénité pour vos séjours au milieu d’un domaine de près de 1 hectare avec poules/coqs, pintades, oies, canards, lapins de ferme, cochons d'inde et moutons d'Ouessant. Petits déjeuners proposés en salle...",14490,Balleroy-sur-Drôme,Calvados,Normandie,Balleroy-sur-Drôme,CC Isigny-Omaha Intercom
Le 24,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",49.3298347,-0.4241315,24 36 rue Achille Henri Min,Office de tourisme de Cœur de Nacre,2026-05-07,,2 étoiles#Classement officiel des hébergements touristiques,"Située dans le bourg de Bernières-sur-Mer, à 400 m de la plage 'Juno Beach', cette agréable maisonnette indépendante, en pierre de Caen, accueillera jusqu'à 3 personnes adultes. 
Le 24 est confortablement équipé, le linge est fourni, le ménage est...",14990,Bernières-sur-Mer,Calvados,Normandie,Bernières-sur-Mer,CC Coeur de Nacre
Hôtel des Thermes et du Casino,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hôtel', 'Hôtellerie']",49.3198241,-0.3547496,"5, Rue Guynemer",Office de tourisme de Cœur de Nacre,2026-01-10, https://secure.reservit.com/fo/booking/2/481/dates https://www.hotel-desthermes.com/<> https://www.facebook.com/hoteldesthermesetducasino/?locale=fr_FR,3 étoiles#Classement officiel des hébergements touristiques,"Situé à Luc-sur-mer, au cœur de la Côte de Nacre, faisant face à la mer, l'hôtel des Thermes et du casino propose 50 chambres tout confort. L'établissement dispose d'une piscine, d'un vaste parking privé, d'un sauna, d'un bain à remous et d'un accès...",14530,Luc-sur-Mer,Calvados,Normandie,Luc-sur-Mer,CC Coeur de Nacre
La Maison des Souvenirs,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",49.325452,-0.456179,74 F rue de l'Eglise,Office de tourisme de Cœur de Nacre,2026-04-24, http://relaisdeposteseulles.free.fr/ http://relaisdeposteseulles.free.fr/<> https://fr-fr.facebook.com/pages/category/City/Le-Relais-de-Poste-de-la-Seulles-1424751767818269/,3 étoiles#Classement officiel des hébergements touristiques|Gîtes de France#Gîtes de France,"Cette demeure est une invitation à découvrir la région. Avec cette représentation d'une partie de la tapisserie de la Reine Mathilde. Avec ces documents et gravures des XVII, 
XVIII et XIXe siècle, évoquant les alentours de Courseulles-sur-Mer. Un...",14470,Courseulles-sur-Mer,Calvados,Normandie,Courseulles-sur-Mer,CC Coeur de Nacre
Mme Refour,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",49.3273668,-0.3904162,251 avenue du Général Koenig,Office de tourisme de Cœur de Nacre,2026-01-11,,3 étoiles#Classement officiel des hébergements touristiques,"Maison récente indépendante de plain pied avec entrée (grande allée) jardin , entourée de haies. Grande terrasse très ensoleillée (3 baies vitrées) - 2 chambres 10m² - grande salle d'eau - WC indépendants - Grand séjour - cuisine - mezzanine -...",14750,Saint-Aubin-sur-Mer,Calvados,Normandie,Saint-Aubin-sur-Mer,CC Coeur de Nacre
