Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Createur_de_la_donnee,Date_de_mise_a_jour,Contacts_du_POI,Classements_du_POI,Description,CP,Ville,nom_departement,nom_region,nom_membre,raison_sociale
Adagio Paris Centre Tour Eiffel,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement collectif', 'Résidence de tourisme']",48.849762,2.2853231,14 rue du Théâtre,Paris je t'aime - Office de Tourisme,2026-03-20, http://www.adagio-city.com/,4 étoiles#Classement officiel des hébergements touristiques,"Idéalement situé en bordure de la Seine, près de la Tour Eiffel, l'Adagio Paris Centre Tour Eiffel offre une vue panoramique sur les plus beaux sites de la capitale. Avec ses 375 appartements de standing, du studio au 3 pièces, cet établissement est idéal pour profiter de la vie parisienne. Un parking privé couvert facilite votre séjour. Détendez-vous dans la piscine, la salle de fitness ou organisez vos réunions dans l'une des deux salles de séminaire de 50m².",75015,Paris,Paris,Île-de-France,Paris,Métropole du Grand Paris
Le Rocroy Hôtel et Spa,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hôtel', 'Hôtellerie']",48.87962,2.3507512,13 rue de Rocroy,Paris je t'aime - Office de Tourisme,2026-03-20, https://www.lerocroy.com/fr/,4 étoiles#Classement officiel des hébergements touristiques,"Découvrez une expérience d'exception au Rocroy Hôtel et Spa, dans un décor art déco chic et intimiste. Très bientôt, un espace spa viendra compléter l'expérience pour une parenthèse relaxante. Idéalement situé près de Montmartre, République et Opéra, cet hôtel est proche de la gare du Nord et des transports en commun pour explorer facilement la capitale.",75010,Paris,Paris,Île-de-France,Paris,Métropole du Grand Paris
Hôtel Saint-Germain,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hôtel', 'Hôtellerie']",48.854767,2.3241675,88 rue du Bac,Paris je t'aime - Office de Tourisme,2026-03-20, http://www.hotel-saint-germain.fr/,3 étoiles#Classement officiel des hébergements touristiques,"Venez séjourner dans l’ambiance chaleureuse et enchanteresse de l’hôtel Saint-Germain, ancien hôtel particulier du XVIIe siècle. Laissez-vous charmer par son cadre raffiné, où l’élégance des anciennes demeures bourgeoises est préservée. Une expérience unique au cœur de Paris, alliant histoire et confort moderne.",75007,Paris,Paris,Île-de-France,Paris,Métropole du Grand Paris
Le Cinq Codet,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hôtel', 'Hôtellerie']",48.854992,2.3083725,5 rue Louis Codet,Paris je t'aime - Office de Tourisme,2026-03-20, https://lecinqcodet.com/fr/,5 étoiles#Classement officiel des hébergements touristiques,"Le Cinq Codet est niché dans un immeuble Art déco du quartier de l'École Militaire. Il propose des chambres et suites aux volumes exceptionnels. Elles offrent un style sobre et sont agrémentées de peintures contemporaines. Certaines sont aménagées en duplex et possède une terrasse. Le restaurant sert une cuisine moderne et raffinée, dans une salle lumineuse ou dans le patio. Le bar, avec son imposante cheminée et ses baies vitrées, cultive l'ambiance d'un atelier d'artiste.",75007,Paris,Paris,Île-de-France,Paris,Métropole du Grand Paris
Laz Hôtel & Spa Urbain,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hôtel', 'Hôtellerie']",48.878704,2.3277528,17 rue de Milan,Paris je t'aime - Office de Tourisme,2026-03-20, https://www.lazhotelparis.com/,4 étoiles#Classement officiel des hébergements touristiques,"Le Laz Hôtel & Spa Urbain, situé en plein cœur de Paris, près de la gare Saint-Lazare et du métro Liège, est un havre de paix. Cet hôtel-boutique 4 étoiles propose spa, piscine, hammam, sauna, fitness, séminaire et patio pour le bien-être des voyageurs. Idéalement situé entre les quartiers Saint Lazare, Pigalle et Opéra, il permet de découvrir la vie parisienne. Sa décoration mêlant style industriel et bohème arty offre un confort acoustique optimal pour des nuits paisibles.",75009,Paris,Paris,Île-de-France,Paris,Métropole du Grand Paris
Ibis Paris Bastille Opéra,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hôtel', 'Hôtellerie']",48.8575,2.3728788,15 rue Bréguet,Paris je t'aime - Office de Tourisme,2026-03-20, http://www.ibis.com/fr/hotel-1399-ibis-paris-bastille-opera-11eme/index.shtml,Clef Verte#Clef verte|3 étoiles#Classement officiel des hébergements touristiques,"L'hôtel Ibis Bastille Opéra 11ème est situé à proximité de la station de métro Bréguet Sabin (ligne 5). Ses chambres sont modernes et décorées avec sobriété. Elles sont climatisées et équipées d'un bureau. Le restaurant est installé dans une salle spacieuse et verdoyante. Il propose une carte de cuisine traditionnelle. Le bar, à l'ambiance décontractée, s'ouvre sur une terrasse. L'hôtel possède également six salles de réunion.",75011,Paris,Paris,Île-de-France,Paris,Métropole du Grand Paris
À l'Orée des champs,"['Lieu', ""Point d'intérêt"", 'Hébergement', ""Chambre d'hôtes"", 'Hébergement locatif']",48.643078,3.4100502,40 rue de Nogent,Paris je t'aime - Office de Tourisme,2026-03-20, http://www.aloreedeschamps.fr/,Tourisme & Handicap auditif#Marque Tourisme et Handicap|Tourisme & Handicap mental#Marque Tourisme et Handicap|Tourisme & Handicap moteur#Marque Tourisme et Handicap,"Située à quelques encablures de la Cité médiévale de Provins, inscrite au Patrimoine Mondial de l'UNESCO, et à un jet de pierre de Disneyland Paris, l'Orée des champs propose 3 chambres d'hôtes à la décoration raffinée et unique. Offrant une cuisine à disposition, un accueil chaleureux, ainsi qu'un jardin et un verger propices à la détente, cet établissement saura séduire les voyageurs en quête de calme et de sérénité.",77560,Villiers-Saint-Georges,Seine-et-Marne,Île-de-France,Villiers-Saint-Georges,CC du Provinois
Campanile Créteil Centre,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hôtel', 'Hôtellerie']",48.78446,2.4595706,52 avenue du Chemin Mesly,Paris je t'aime - Office de Tourisme,2026-03-20, http://campanile-creteil-centre.fr/,3 étoiles#Classement officiel des hébergements touristiques,"Venez vivre des instants conviviaux au Campanile Créteil Centre, que ce soit en famille, entre amis ou entre collègues, dans un cadre chaleureux. Bénéficiez de tous nos services pour rendre votre séjour agréable. Les chambres offrent un confort moderne avec une literie haut de gamme, une salle de bain complète, des écrans plats LCD et un accès wifi gratuit. Réservez dès maintenant pour vivre bien plus qu'une simple nuit !",94000,Créteil,Val-de-Marne,Île-de-France,Créteil,Métropole du Grand Paris
Ritz Paris,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hôtel', 'Hôtellerie']",48.8681,2.3288932,15 place Vendôme,Paris je t'aime - Office de Tourisme,2026-03-20, https://www.ritzparis.com/fr-FR,5 étoiles#Classement officiel des hébergements touristiques,"Le Ritz Paris, sur la place Vendôme, offre des chambres de luxe. Le Ritz Bar propose des cocktails inspirés du zodiaque, la brasserie du Bar Vendôme et le Salon Proust offrent une expérience gastronomique. Le Bar Hemingway, animé par Anne Sophie Prestail, fait revivre la magie de Paris. L'École Ritz Escoffier permet d'apprendre la cuisine française. Avec le Ritz Club & Spa, chaque visiteur bénéficie d'une expérience personnalisée.",75001,Paris,Paris,Île-de-France,Paris,Métropole du Grand Paris
Bar Hemingway,"['Restauration', 'Lieu', ""Point d'intérêt"", 'Site sportif, récréatif et de loisirs', 'Bistrot - Bar à vin']",48.867956,2.328887,15 place Vendôme,Choose Paris Region,2024-10-18, http://www.ritzparis.com/,,"La légende du bar à cocktails le plus célèbre du monde n’est plus à faire. Verre à la main, offrez-vous un voyage dans le monde du luxe et de l'excellence.",75001,Paris,Paris,Île-de-France,Paris,Métropole du Grand Paris
